sample_id,source_instance_id,difficulty,density,discrete_fraction,constraint_variable_ratio,positive_label_fraction,objective_log_mean,objective_log_std,rhs_log_mean,rhs_log_std,coefficient_log_mean,coefficient_log_std,lower_bound_log_mean,upper_bound_log_mean,fixed_domain_fraction,variable_degree_std,constraint_degree_std,root_lp_mean,root_lp_std,binary_lp_fractionality,mip_gap_relative,execution_time_seconds,pca_component_1,pca_component_2,cluster_id
CFL_easy_instance_5,CFL_easy_instance_5,easy,0.0024968827930174566,0.9152119700748129,0.004987531172069825,0.002568119904026389,0.05248454175647439,0.0894867867311793,0.3465735912322998,0.3465735912322998,0.5256660580635071,0.31404152512550354,0.0,0.6931471824645996,0.0,0.04987531172069825,14.0860746838855,0.0024967793988256394,0.04987541554015934,3.2930216051265446e-06,0.0,357.5241873264313,-2.0529858637883796,0.8354691006619076,1
CFL_easy_instance_6,CFL_easy_instance_6,easy,0.0024968827930174566,0.9077306733167082,0.004987531172069825,0.0025686812587082386,0.05242555060490676,0.08858356308710709,0.3465735912322998,0.3465735912322998,0.5402889847755432,0.30698448419570923,0.0,0.6931471824645996,0.0,0.04987531172069825,13.650549439491439,0.00249705013562366,0.04987544912686021,3.618418640350988e-06,0.0,206.87973523139954,-1.7144892867364412,-1.6634719479870128,2
CFL_easy_instance_7,CFL_easy_instance_7,easy,0.0024968827930174566,0.8952618453865336,0.004987531172069825,0.0025696379598230124,0.05229891319134496,0.08745510950549833,0.3465735912322998,0.3465735912322998,0.5352961421012878,0.30692729353904724,0.0,0.6931471824645996,0.0,0.04987531172069825,14.105495383005874,0.0024969435881286883,0.04987541318565164,3.5498017816266548e-06,0.0,293.79910588264465,-1.6546906980755998,-1.6994666158887057,2
CFL_easy_instance_8,CFL_easy_instance_8,easy,0.0024968827930174566,0.9226932668329177,0.004987531172069825,0.002560810884460807,0.05222693989719273,0.08994287666207519,0.3465735912322998,0.3465735912322998,0.5308557152748108,0.3105660676956177,0.0,0.6931471824645996,0.0,0.04987531172069825,14.92472780321303,0.0024968702211147086,0.04987544637361121,3.3647531540491153e-06,0.0,400.69857692718506,-1.8750443603898126,0.5436993047808173,2
CFL_easy_instance_9,CFL_easy_instance_9,easy,0.0024968827930174566,0.9102244389027432,0.004987531172069825,0.0025616437196731567,0.052333802095694854,0.09033562626466485,0.3465735912322998,0.3465735912322998,0.5350557565689087,0.30628007650375366,0.0,0.6931471824645996,0.0,0.04987531172069825,13.691329373001,0.0024969344945212388,0.049875454590458584,3.4814583644294717e-06,0.0,387.74396419525146,-1.7713632115705822,-0.8020642929397206,2
CFL_medium_instance_0,CFL_medium_instance_0,medium,0.0008328131502288806,0.898876404494382,0.0018726591760299626,0.0006449652719311416,0.05036785265317805,0.06551655646090757,0.2310490608215332,0.3267527153873784,0.5360085368156433,0.27599862217903137,0.0,0.6931471824645996,0.0,0.035311200059253305,377.3406481181457,0.0006246125710420052,0.02497660617137537,4.370408397863512e-07,0.06966822782913246,3600.133940935135,6.42580395964096,-0.9460369131290064,0
CFL_medium_instance_1,CFL_medium_instance_1,medium,0.0008328131502288806,0.9126092384519351,0.0018726591760299626,0.0006438098498620093,0.05036331775868876,0.06574864999561222,0.2310490608215332,0.3267527153873784,0.5326521992683411,0.2765944004058838,0.0,0.6931471824645996,0.0,0.035311200059253305,377.3499609852313,0.0006246040165380973,0.024976606326302702,4.210906251928532e-07,0.07246012290707497,3600.14004778862,6.323978133661432,0.317977282593138,0
CFL_medium_instance_15,CFL_medium_instance_15,medium,0.0008328131502288806,0.9213483146067416,0.0018726591760299626,0.0006419376586563885,0.050387659516008564,0.06668412249461733,0.2310490608215332,0.3267527153873784,0.531998336315155,0.2771947979927063,0.0,0.6931471824645996,0.0,0.035311200059253305,377.3454150009276,0.0006246026346533194,0.02497660555360971,4.155966901203663e-07,0.059788637375943796,14400.668487071991,6.242598818035084,0.9186119831587383,0
CFL_medium_instance_16,CFL_medium_instance_16,medium,0.0008328131502288806,0.9113607990012484,0.0018726591760299626,0.0006455479306168854,0.05038170544080889,0.06613648767669066,0.2310490608215332,0.3267527153873784,0.536548912525177,0.2762613892555237,0.0,0.6931471824645996,0.0,0.035311200059253305,377.397068380535,0.0006246141900797355,0.024976607516360834,4.328304847508381e-07,0.0,3361.367010116577,6.3693556107962745,-0.2903474663986485,0
CFL_medium_instance_17,CFL_medium_instance_17,medium,0.0008328131502288806,0.9076154806491885,0.0018726591760299626,0.0006430536741390824,0.0504290733587295,0.06627034018336198,0.2310490608215332,0.3267527153873784,0.5335087776184082,0.2746855914592743,0.0,0.6931471824645996,0.0,0.035311200059253305,377.3932847692032,0.0006246051379091595,0.024976607748180574,4.246430058277482e-07,0.04998847064261424,14400.092406988144,6.349974618680176,-0.10859008531825864,0
